id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
221,722,310,3224,23999,-31.577,-60.724,5702,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.464,180.9,B5 (850); B2 (1900)
228,722,34,714,20103,-31.577,-60.725,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.466,181.6,B5 (850); B2 (1900)
227,722,34,714,30103,-31.577,-60.725,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.466,181.6,B5 (850); B2 (1900)
222,722,310,13204,24446960,-31.577,-60.72,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.468,178.0,B5 (850); B1 (2100)
224,722,310,13204,24482808,-31.577,-60.719,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.472,177.2,B5 (850); B1 (2100)
223,722,34,770,7733598,-31.577,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.479,183.8,B5 (850); B1 (2100)
255,722,310,13201,20126918,-31.569,-60.685,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.486,151.4,B5 (850); B1 (2100)
166,722,34,10770,17994245,-31.571,-60.756,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.488,204.8,B28 (700); B4 (AWS); B7 (2600)
182,722,34,10770,17942021,-31.576,-60.738,1798,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.491,191.1,B28 (700); B4 (AWS); B7 (2600)
225,722,310,3200,23999,-31.577,-60.715,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.499,174.3,B5 (850); B2 (1900)
226,722,34,794,6889145,-31.577,-60.715,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.499,174.3,B5 (850); B1 (2100)
509,722,7,2761,134173697,-31.444,-60.74,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,7.505,347.4,B28 (700); B4 (AWS); B7 (2600)
180,722,34,702,30103,-31.577,-60.733,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.525,187.4,B5 (850); B2 (1900)
242,722,310,53204,1185026,-31.576,-60.704,2561,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.565,166.4,B28 (700); B4 (AWS); B7 (2600)
181,722,34,770,7734698,-31.577,-60.736,4741,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.567,189.5,B5 (850); B1 (2100)
210,722,310,3224,15808,-31.578,-60.722,1222,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.574,179.4,B5 (850); B2 (1900)
219,722,34,10770,17942023,-31.578,-60.722,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.574,179.4,B28 (700); B4 (AWS); B7 (2600)
217,722,34,714,40125,-31.578,-60.721,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.576,178.7,B5 (850); B2 (1900)
215,722,34,714,60103,-31.578,-60.721,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.576,178.7,B5 (850); B2 (1900)
218,722,34,10770,17942020,-31.578,-60.725,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.577,181.6,B28 (700); B4 (AWS); B7 (2600)
